"","Tumor_Sample","Healthy_Sample"
"AGPAT3",1603.9406,1331.8486
"AGPAT4",326.5988,355.3929
"AGPAT5",1161.4627,622.6535
"AGPAT6",1203.2059,2060.77
"AGPAT9",485.5569,161.9472
"AGPHD1",48.4221,40.4073
"AGPS",1256.9711,1177.5374
"AGR2",78.4772,924.9125
"AGR3",1.3358,589.5641
"AGRN",8294.54,5076.6783
"AGRP",0,0
"AGTPBP1",776.7574,321.9854
"AGTR1",18.0331,583.5189
"AGTR2",0.6679,2.8635
"AGTRAP",734.0124,603.8816
"AGT",1099.3488,175.3102
"AGXT2L1",2.3376,7.9542
"AGXT2L2",355.3281,643.083
"AGXT2",3.6734,0
"AGXT",0,1.909
"AHCTF1",3114.7103,1607.6997
"AHCYL1",3855.4016,3406.2997
"AHCYL2",857.2383,517.6583
"AHCY",3310.4024,1913.4585
"AHDC1",1170.1453,1264.7152
"AHI1",550.3423,519.5673
"AHNAK2",6379.0282,1639.8346
"AHNAK",20605.1094,83520.2036
"AHRR",88.4956,20.999
"AHR",2253.4647,5202.3544
"AHSA1",2722.6582,1706.3315
"AHSA2",335.2813,636.971
"AHSG",1.0018,0
"AHSP",0,0.6363
"AICDA",1.3358,2.5453
"AIDA",1567.5739,1082.0872
"AIF1L",3405.5769,2668.7878
"AIF1",334.6135,522.4308
"AIFM1",984.4715,659.2428
"AIFM2",536.6505,461.0245
"AIFM3",60.7781,14.9539
"AIG1",637.5021,738.4664
"AIM1L",27.3835,0
"AIM1",3039.5725,2611.5177
"AIM2",18.0331,9.2269
"AIMP1",1285.7405,1112.8476
"AIMP2",428.8963,253.7926
"AIPL1",0,0
"AIP",1183.837,1006.6815
"AIRE",0,1.2727
"AJAP1",8.0147,17.8174
"AK1",456.1696,545.3388
"AK2",2986.1413,1856.1884
"AK3L1",289.5308,338.5301
"AK3",1243.6133,1820.2354
"AK5",102.5213,1216.672
"AK7",28.0514,34.6802
"AKAP10",312.5731,524.3398
"AKAP11",1665.3865,2251.9885
"AKAP12",492.5697,4412.9812
"AKAP13",2863.5832,5108.8132
"AKAP14",0,0.3182
"AKAP1",6179.9967,2064.9061
"AKAP2",305.4967,2047.2797
"AKAP3",41.4093,30.8622
"AKAP4",0,0
"AKAP5",53.0973,37.5437
"AKAP6",67.791,254.2157
"AKAP7",149.2737,156.2202
"AKAP8L",680.915,876.5511
"AKAP8",750.3757,769.6468
"AKAP9",1700.4508,2800.1909
"AKD1",109.8681,133.3121
"AKIRIN1",1635.9993,2220.1718
"AKIRIN2",570.379,755.3293
"AKNAD1",2.6716,6.3633
"AKNA",628.8195,871.1422
"AKR1A1",1828.6859,1543.1117
"AKR1B10",1.3358,7.636
"AKR1B15",4.6752,8.2724
"AKR1B1",918.6843,1036.5892
"AKR1C1",65.7873,1444.4798
"AKR1C2",18.701,878.4601
"AKR1C3",222.0738,1601.0181
"AKR1C4",0,0.6363
"AKR1CL1",1.0018,0
"AKR1D1",0.3339,0
"AKR1E2",168.6425,59.1791
"AKR7A2",482.2174,242.7617
"AKR7A3",30.389,48.6796
"AKR7L",21.0386,41.9981
"AKT1S1",1054.934,691.6958
"AKT1",2680.2471,2879.4146
"AKT2",2129.2369,1990.7731
"AKT3",5017.1982,1545.657
"AKTIP",887.9479,595.8097
"ALAD",793.7886,1615.0175
"ALAS1",926.365,987.9096
"ALAS2",0.3339,13.9994
"ALB",5.3431,279.6691
"ALCAM",791.451,2359.5291
"ALDH16A1",452.1623,637.6074
"ALDH18A1",3560.5276,1436.8438
"ALDH1A1",114.2094,2646.8342
"ALDH1A2",9.6844,340.4391
"ALDH1A3",1102.9788,4446.1343
"ALDH1B1",4787.1097,573.3376
"ALDH1L1",55.7689,204.2634
"ALDH1L2",1235.9325,268.2151
"ALDH2",1413.2576,3608.0178
"ALDH3A1",15.6954,57.2701
"ALDH3A2",1960.5944,2061.0881
"ALDH3B1",203.7068,174.0375
"ALDH3B2",223.0756,362.0745
"ALDH4A1",310.5694,771.874
"ALDH5A1",612.7901,479.7964
"ALDH6A1",306.2882,337.5374
"ALDH7A1",1291.7015,1654.7884
"ALDH8A1",29.7212,17.181
"ALDH9A1",3091.6681,2440.0255
"ALDOA",9939.5559,9001.5908
"ALDOB",20.0367,3.1817
"ALDOC",158.6241,538.021
"ALG10B",197.0279,372.8921
"ALG10",199.0316,99.9045
"ALG11",14.3597,7.3178
"ALG12",904.9925,432.7076
"ALG13",340.9584,545.9752
"ALG14",198.6976,146.9933
"ALG1L2",0,0.3309
"ALG1L",4.2044,6.6465
"ALG1",589.257,349.7486
"ALG2",760.728,873.6876
"ALG3",1703.7903,376.7101
"ALG5",730.339,514.4766
"ALG6",637.836,345.5297
"ALG8",694.9407,496.9774
"ALG9",564.0341,447.6615
"ALKBH1",148.9397,194.7184
"ALKBH2",280.5143,285.078
"ALKBH3",339.9566,339.8027
"ALKBH4",198.2568,140.6268
"ALKBH5",2006.2147,2013.9644
"ALKBH6",95.5084,80.4963
"ALKBH7",698.6141,361.4381
"ALKBH8",246.4518,212.2176
"ALK",36.4001,12.4085
"ALLC",0,0
"ALMS1P",0,1.909
"ALMS1",677.5756,697.1047
"ALOX12B",15.3548,3.1817
"ALOX12P2",43.079,20.6809
"ALOX12",3.6734,4.7948
"ALOX15B",50.7597,62.9971
"ALOX15",2.0037,5.4088
"ALOX5AP",470.5293,366.847
"ALOX5",464.5183,778.5555
"ALOXE3",20.7046,5.4088
"ALPI",3.3395,0
"ALPK1",505.5936,627.426
"ALPK2",56.1029,56.6338
"ALPK3",78.1433,186.7642
"ALPL",421.1054,1538.3392
"ALPPL2",1.0018,0
"ALPP",1.3358,0
"ALS2CL",227.7509,552.6567
"ALS2CR11",3.0055,10.4995
"ALS2CR12",2.6716,8.5905
"ALS2CR4",1031.2239,1294.623
"ALS2CR8",89.4974,239.2619
"ALS2",809.1501,688.5142
"ALX1",46.7524,0
"ALX3",25.3799,32.1349
"ALX4",13.3578,26.7261
"AMAC1L2",0.6679,0.6363
"AMAC1L3",0,0
"AMAC1",0,0
"AMACR",172.3159,198.8546
"AMBN",0,0
"AMBP",0.6679,6.0452
"AMBRA1",843.5465,761.0563
"AMD1",4653.1975,2745.5775
"AMDHD1",3.3395,19.09
"AMDHD2",262.4178,207.5469
"AMELX",0,0
"AMELY",0,0
"AMFR",2917.3485,2461.6608
"AMHR2",0.6679,0.6363
"AMH",7.6807,3.818
"AMICA1",61.446,148.5842
"AMIGO1",97.5121,157.1747
"AMIGO2",229.4206,1777.2829
"AMIGO3",52.7634,61.7245
"AMMECR1L",781.4326,987.2733
"AMMECR1",421.4393,316.2584
"AMN1",383.3695,183.5826
"AMN",31.0569,2.2272
"AMOTL1",1609.9516,2155.2657
"AMOTL2",976.7908,4726.6942
"AMOT",776.7574,1091.9504
"AMPD1",0.3339,30.5441
"AMPD2",1056.9377,788.7369
"AMPD3",253.1307,189.9459
"AMPH",25.7138,99.5864
"AMTN",844.2144,0
"AMT",48.5891,227.0029
"AMY1A",104.525,51.8613
"AMY2A",2.3376,4.1362
"AMY2B",173.9689,328.0178
"AMZ1",14.3597,5.4088
"AMZ2P1",223.7435,154.6293
"AMZ2",1590.9167,824.0535
"ANAPC10",128.2351,146.357
"ANAPC11",1962.932,690.4232
"ANAPC13",1424.388,1282.1349
"ANAPC16",2302.5547,2580.0191
"ANAPC1",546.6689,657.9701
"ANAPC2",366.3383,782.0554
"ANAPC4",377.0245,684.378
"ANAPC5",1715.1444,2177.8556
"ANAPC7",779.429,814.1903
"ANGEL1",367.6741,700.9227
"ANGEL2",800.1336,748.966
"ANGPT1",264.8188,360.4836
"ANGPT2",292.8703,808.4633
"ANGPT4",0,25.4534
"ANGPTL1",40.0735,853.3248
"ANGPTL2",718.3169,5266.9424
"ANGPTL3",0.3339,0.3182
"ANGPTL4",429.7879,1320.0764
"ANGPTL5",6.011,36.2711
"ANGPTL6",4.3814,1.9313
"ANGPTL7",22.0404,52.4976
"ANG",450.1152,392.3672
"ANK1",3.3395,33.0894
"ANK2",429.1201,1848.5523
"ANK3",557.6891,1500.4773
"ANKAR",50.7597,51.2249
"ANKDD1A",95.8424,124.7216
"ANKFN1",2.0037,6.3633
"ANKFY1",1365.1695,1915.6857
"ANKHD1-EIF4EBP3",545.7005,1196.2711
"ANKHD1",1435.0175,2150.5313
"ANKH",3140.0902,1479.4782
"ANKIB1",1875.7722,1328.6669
"ANKK1",9.3505,43.5889
"ANKLE1",39.6828,19.7264
"ANKLE2",1300.718,1745.4661
"ANKMY1",115.5452,233.853
"ANKMY2",290.5326,647.1524
"ANKRA2",125.5635,319.44
"ANKRD10",1241.6096,1668.6255
"ANKRD11",4089.6878,2850.0159
"ANKRD12",1725.1628,2152.7203
"ANKRD13A",638.17,1176.2647
"ANKRD13B",211.0536,182.9462
"ANKRD13C",649.8581,652.2431
"ANKRD13D",627.1498,711.4222
"ANKRD16",409.6744,223.9898
"ANKRD17",4671.5645,3120.2673
"ANKRD19",37.7358,40.0891
"ANKRD1",6.6789,1.2727
"ANKRD20A3",11.6881,21.6354
"ANKRD20A4",2.6716,4.4543
"ANKRD20B",7.0129,7.3178
"ANKRD22",63.4497,48.9978
"ANKRD23",22.3744,37.2256
"ANKRD24",8.3486,18.4537
"ANKRD26P1",0.6679,0.3182
"ANKRD26",192.3526,337.5756
"ANKRD27",1184.171,917.5947
"ANKRD28",1291.0336,1431.4349
"ANKRD29",18.367,252.943
"ANKRD2",0.6679,6.6815
"ANKRD30A",0,421.2536
"ANKRD30B",0.3339,14.9539
"ANKRD31",1.3358,2.5453
"ANKRD32",89.4974,180.4009
"ANKRD33",0,0
"ANKRD34A",26.0478,13.0449
"ANKRD34B",2.6716,4.4543
"ANKRD34C",1.0018,0.6363
"ANKRD35",85.824,222.399
"ANKRD36BP1",354.9841,191.2186
"ANKRD36B",38.7377,53.7703
"ANKRD36",154.6168,416.4811
"ANKRD37",69.8046,373.1658
"ANKRD39",88.1616,100.5409
"ANKRD40",1271.6647,1727.6487
"ANKRD42",159.9599,354.7566
"ANKRD43",29.7212,38.1801
"ANKRD44",123.8938,91.314
"ANKRD45",81.1488,10.4995
"ANKRD46",635.2146,573.8816
"ANKRD49",318.5841,235.1257
"ANKRD50",1013.5248,1255.1702
"ANKRD52",1635.6654,1367.1651
"ANKRD53",11.6881,41.3618
"ANKRD54",544.3313,301.9408
"ANKRD55",5.6771,2.8635
"ANKRD56",80.4809,139.9936
"ANKRD57",394.0558,916.0038
"ANKRD58",11.6881,6.0452
"ANKRD5",267.8243,148.9023
"ANKRD6",248.3453,351.2504
"ANKRD7",3.3395,0.9545
"ANKRD9",46.0845,73.4967
"ANKS1A",1245.283,1218.2628
"ANKS1B",60.1102,67.4515
"ANKS3",272.8335,239.2619
"ANKS4B",1.6697,0.3182
"ANKS6",512.2725,308.3042
"ANKZF1",432.7935,632.8349
"ANLN",1164.8021,61.7245
"ANO10",815.1611,633.153
"ANO1",2024.378,6696.4683
"ANO2",7.6807,121.8581
"ANO3",1.3358,26.4079
"ANO4",42.0771,5.4088
"ANO5",252.7968,55.043
"ANO6",1847.0529,3450.525
"ANO7",15.6954,12.0904
"ANO8",358.6575,412.0267
"ANO9",226.749,104.6771
"ANP32A",2174.3196,2335.3484
"ANP32B",3030.556,2741.3299
"ANP32C",1.6697,1.909
"ANP32D",0,0.3182
"ANP32E",2895.642,1259.9427
"ANPEP",612.7901,4249.4432
"ANTXR1",3462.0137,5356.0293
"ANTXR2",1254.6335,2060.1336
